NAMASTE_Code,NAMASTE_Display,NAMASTE_System,NAMASTE_Definition,ICD11_TM2_Code,ICD11_TM2_Display,ICD11_TM2_Category,Equivalence_Type,Mapping_Accuracy,Clinical_Validation,Traditional_Name_Sanskrit,Traditional_Name_Arabic,Traditional_Name_Tamil
AY0001,Fever - Jwara,Ayurveda,Fever condition with traditional Ayurvedic understanding,MG30.0,Fever unspecified,Symptoms,equivalent,98.1,approved,ज्वर,,
AY0002,Diabetes - Madhumeha Vataja,Ayurveda,Diabetes condition with traditional Ayurvedic understanding Vataja,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,98.2,approved,मधुमेह,,
AY0003,Hypertension - Rakta Gata Vata Pittaja,Ayurveda,Hypertension condition with traditional Ayurvedic understanding Pittaja,BA00,Essential hypertension,Circulatory,equivalent,98.1,approved,रक्तगत वात,,
AY0004,Arthritis - Sandhivata Kaphaja,Ayurveda,Arthritis condition with traditional Ayurvedic understanding Kaphaja,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,98.9,approved,संधिवात,,
AY0005,Asthma - Tamaka Shwasa Sannipataja,Ayurveda,Asthma condition with traditional Ayurvedic understanding Sannipataja,CA23,Asthma,Respiratory,equivalent,98.5,approved,तमक श्वास,,
AY0006,Migraine - Ardhavabhedaka Chronic,Ayurveda,Migraine condition with traditional Ayurvedic understanding Chronic,8A80,Migraine,Neurological,equivalent,98.6,approved,अर्धावभेदक,,
AY0007,Depression - Vishada Acute,Ayurveda,Depression condition with traditional Ayurvedic understanding Acute,6A70,Single episode depressive disorder,Mental,equivalent,99.4,approved,विषाद,,
AY0008,Gastritis - Amlapitta,Ayurveda,Gastritis condition with traditional Ayurvedic understanding,DA60,Gastritis,Digestive,equivalent,99.2,approved,अम्लपित्त,,
AY0009,Insomnia - Anidra Vataja,Ayurveda,Insomnia condition with traditional Ayurvedic understanding Vataja,7A00,Insomnia,Sleep,equivalent,98.3,approved,अनिद्रा,,
AY0010,Constipation - Vibandha Pittaja,Ayurveda,Constipation condition with traditional Ayurvedic understanding Pittaja,ME05,Constipation,Digestive,equivalent,99.1,approved,विबन्ध,,
AY0011,Obesity - Medoroga Kaphaja,Ayurveda,Obesity condition with traditional Ayurvedic understanding Kaphaja,5B81,Obesity,Endocrine,equivalent,99.0,approved,मेदोरोग,,
AY0012,Anemia - Pandu Sannipataja,Ayurveda,Anemia condition with traditional Ayurvedic understanding Sannipataja,3A00,Iron deficiency anaemia,Blood,equivalent,98.3,approved,पाण्डु,,
AY0013,Psoriasis - Kitibha Chronic,Ayurveda,Psoriasis condition with traditional Ayurvedic understanding Chronic,EA90,Psoriasis,Dermatological,equivalent,98.2,approved,कितिभ,,
AY0014,Eczema - Vicharchika Acute,Ayurveda,Eczema condition with traditional Ayurvedic understanding Acute,EA80,Atopic dermatitis,Dermatological,equivalent,99.2,approved,विचर्चिका,,
AY0015,Urticaria - Sheetapitta,Ayurveda,Urticaria condition with traditional Ayurvedic understanding,EB01,Acute urticaria,Dermatological,equivalent,98.3,approved,शीतपित्त,,
AY0016,Rheumatism - Amavata Vataja,Ayurveda,Rheumatism condition with traditional Ayurvedic understanding Vataja,FA20,Rheumatoid arthritis,Musculoskeletal,equivalent,98.9,approved,आमवात,,
AY0017,Epilepsy - Apasmara Pittaja,Ayurveda,Epilepsy condition with traditional Ayurvedic understanding Pittaja,8A61,Epilepsy,Neurological,equivalent,99.8,approved,अपस्मार,,
AY0018,Diarrhea - Atisara Kaphaja,Ayurveda,Diarrhea condition with traditional Ayurvedic understanding Kaphaja,1E10,Diarrhoea,Digestive,equivalent,99.7,approved,अतिसार,,
