NAMASTE_Code,NAMASTE_Display,NAMASTE_Traditional,NAMASTE_System,ICD11_Code,ICD11_Description,Mapping_Confidence,Confidence_Level,Mapping_Method,Last_Updated
AY0001,Fever - Jwara,,Unknown,MG24,Fever,0.950,Expert High,Expert Medical Review,2025-09-04
AY0002,Diabetes - Madhumeha Vataja,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
AY0003,Hypertension - Rakta Gata Vata Pittaja,,Unknown,BA00,Essential hypertension,0.950,Expert High,Expert Medical Review,2025-09-04
AY0004,Arthritis - Sandhivata Kaphaja,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
AY0005,Asthma - Tamaka Shwasa Sannipataja,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY0006,Migraine - Ardhavabhedaka Chronic,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY0007,Depression - Vishada Acute,,Unknown,6A70,Single episode depressive disorder,0.920,Expert High,Expert Medical Review,2025-09-04
AY0008,Gastritis - Amlapitta,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0009,Insomnia - Anidra Vataja,,Unknown,7A00,Insomnia,0.950,Expert High,Expert Medical Review,2025-09-04
AY0010,Constipation - Vibandha Pittaja,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY0011,Obesity - Medoroga Kaphaja,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY0012,Anemia - Pandu Sannipataja,,Unknown,3A00,Anaemia,0.950,Expert High,Expert Medical Review,2025-09-04
AY0013,Psoriasis - Kitibha Chronic,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0014,Eczema - Vicharchika Acute,,Unknown,EA80,Atopic dermatitis,0.920,Expert High,Expert Medical Review,2025-09-04
AY0015,Urticaria - Sheetapitta,,Unknown,EA86,Urticaria,0.950,Expert High,Expert Medical Review,2025-09-04
AY0016,Rheumatism - Amavata Vataja,,Unknown,FA20,Rheumatoid arthritis,0.950,Expert High,Expert Medical Review,2025-09-04
AY0017,Epilepsy - Apasmara Pittaja,,Unknown,8A61,Epilepsy,0.950,Expert High,Expert Medical Review,2025-09-04
AY0018,Diarrhea - Atisara Kaphaja,,Unknown,DD91,Diarrhoea,0.950,Expert High,Expert Medical Review,2025-09-04
AY0019,Cough - Kasa Sannipataja,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
AY0020,Cold - Pratishyaya Chronic,,Unknown,CA40,Acute upper respiratory infections,0.900,Expert High,Expert Medical Review,2025-09-04
AY0021,Hemorrhoids - Arsha Acute,,Unknown,DB33,Haemorrhoids,0.950,Expert High,Expert Medical Review,2025-09-04
AY0022,Urinary Stones - Ashmari,,Unknown,GC80,Urolithiasis,0.950,Expert High,Expert Medical Review,2025-09-04
AY0023,Jaundice - Kamala Vataja,,Unknown,DB90,Jaundice,0.950,Expert High,Expert Medical Review,2025-09-04
AY0024,Leucorrhea - Shweta Pradara Pittaja,,Unknown,GA34,Disorders of menstruation,0.880,Expert High,Expert Medical Review,2025-09-04
AY0025,Impotence - Klaibya Kaphaja,,Unknown,HA00,Male sexual dysfunction,0.900,Expert High,Expert Medical Review,2025-09-04
AY0026,Gout - Vatarakta Sannipataja,,Unknown,FA25,Gout,0.800,High,Optimized Semantic Matching,2025-09-04
AY0027,Sciatica - Gridhrasi Chronic,,Unknown,ME84.3,sciatica,0.800,High,Optimized Semantic Matching,2025-09-04
AY0028,Vertigo - Bhrama Acute,,Unknown,MB48.0,vertigo,0.800,High,Optimized Semantic Matching,2025-09-04
AY0029,Sinusitis - Dushta Pratishyaya,,Unknown,SC91,Nasal sinusitis disorder (TM1),0.700,High,Optimized Semantic Matching,2025-09-04
AY0030,Bronchitis - Kasa Roga Vataja,,Unknown,CA20,bronchitis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0031,Fever - Jwara Pittaja,,Unknown,1C30.2,Typhus fever due to Rickettsia typhi,0.700,High,Optimized Semantic Matching,2025-09-04
AY0032,Diabetes - Madhumeha Kaphaja,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
AY0033,Hypertension - Rakta Gata Vata Sannipataja,,Unknown,MC80.0,"elevated bloodpressure reading, without diagnosis of hypertension",0.700,High,Optimized Semantic Matching,2025-09-04
AY0034,Arthritis - Sandhivata Chronic,,Unknown,2A81.7,Diffuse large Bcell lymphoma associated with Chronic inflammation,0.700,High,Optimized Semantic Matching,2025-09-04
AY0035,Asthma - Tamaka Shwasa Acute,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY0036,Migraine - Ardhavabhedaka,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY0037,Depression - Vishada Vataja,,Unknown,6A70,Single episode depressive disorder,0.920,Expert High,Expert Medical Review,2025-09-04
AY0038,Gastritis - Amlapitta Pittaja,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0039,Insomnia - Anidra Kaphaja,,Unknown,7A00,Insomnia,0.950,Expert High,Expert Medical Review,2025-09-04
AY0040,Constipation - Vibandha Sannipataja,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY0041,Obesity - Medoroga Chronic,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY0042,Anemia - Pandu Acute,,Unknown,3A00,Anaemia,0.950,Expert High,Expert Medical Review,2025-09-04
AY0043,Psoriasis - Kitibha,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0044,Eczema - Vicharchika Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0045,Urticaria - Sheetapitta Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0046,Rheumatism - Amavata Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
