NAMASTE_Code,NAMASTE_Display,NAMASTE_Traditional,NAMASTE_System,ICD11_Code,ICD11_Description,Mapping_Confidence,Confidence_Level,Mapping_Method,Medical_System,Last_Updated
AY0001,Fever - Jwara,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
AY0002,Diabetes - Madhumeha Vataja,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0003,Hypertension - Rakta Gata Vata Pittaja,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
AY0004,Arthritis - Sandhivata Kaphaja,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0005,Asthma - Tamaka Shwasa Sannipataja,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0006,Migraine - Ardhavabhedaka Chronic,,Unknown,8A80,Migraine,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0007,Depression - Vishada Acute,,Unknown,6A70,Single episode depressive disorder,0.950,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0008,Gastritis - Amlapitta,,Unknown,DA42,Gastritis,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0009,Insomnia - Anidra Vataja,,Unknown,7A00,Insomnia,0.980,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0010,Constipation - Vibandha Pittaja,,Unknown,DD92,Constipation,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0011,Obesity - Medoroga Kaphaja,,Unknown,5B81,Obesity,0.950,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0012,Anemia - Pandu Sannipataja,,Unknown,3A00,Anaemia,0.980,Medical Expert,Expert Medical Knowledge,hematological,2025-09-05
AY0013,Psoriasis - Kitibha Chronic,,Unknown,EA90,Psoriasis,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0014,Eczema - Vicharchika Acute,,Unknown,EA80,Atopic dermatitis,0.950,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0015,Urticaria - Sheetapitta,,Unknown,EA86,Urticaria,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0016,Rheumatism - Amavata Vataja,,Unknown,FA20,Rheumatoid arthritis,0.980,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0017,Epilepsy - Apasmara Pittaja,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0018,Diarrhea - Atisara Kaphaja,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0019,Cough - Kasa Sannipataja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0020,Cold - Pratishyaya Chronic,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0021,Hemorrhoids - Arsha Acute,,Unknown,DB33,Haemorrhoids,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0022,Urinary Stones - Ashmari,,Unknown,GC80,Urolithiasis,0.980,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0023,Jaundice - Kamala Vataja,,Unknown,DB90,Jaundice,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0024,Leucorrhea - Shweta Pradara Pittaja,,Unknown,GA34,Disorders of menstruation,0.900,Medical Expert,Expert Medical Knowledge,gynecological,2025-09-05
AY0025,Impotence - Klaibya Kaphaja,,Unknown,HA00,Male sexual dysfunction,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0026,Gout - Vatarakta Sannipataja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0027,Sciatica - Gridhrasi Chronic,,Unknown,8B94,Sciatica,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0028,Vertigo - Bhrama Acute,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0029,Sinusitis - Dushta Pratishyaya,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0030,Bronchitis - Kasa Roga Vataja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0031,Fever - Jwara Pittaja,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
AY0032,Diabetes - Madhumeha Kaphaja,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0033,Hypertension - Rakta Gata Vata Sannipataja,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
AY0034,Arthritis - Sandhivata Chronic,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0035,Asthma - Tamaka Shwasa Acute,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0036,Migraine - Ardhavabhedaka,,Unknown,8A80,Migraine,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0037,Depression - Vishada Vataja,,Unknown,6A70,Single episode depressive disorder,0.950,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0038,Gastritis - Amlapitta Pittaja,,Unknown,DA42,Gastritis,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0039,Insomnia - Anidra Kaphaja,,Unknown,7A00,Insomnia,0.980,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0040,Constipation - Vibandha Sannipataja,,Unknown,DD92,Constipation,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0041,Obesity - Medoroga Chronic,,Unknown,5B81,Obesity,0.950,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0042,Anemia - Pandu Acute,,Unknown,3A00,Anaemia,0.980,Medical Expert,Expert Medical Knowledge,hematological,2025-09-05
AY0043,Psoriasis - Kitibha,,Unknown,EA90,Psoriasis,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0044,Eczema - Vicharchika Vataja,,Unknown,EA80,Atopic dermatitis,0.950,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0045,Urticaria - Sheetapitta Pittaja,,Unknown,EA86,Urticaria,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0046,Rheumatism - Amavata Kaphaja,,Unknown,FA20,Rheumatoid arthritis,0.980,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0047,Epilepsy - Apasmara Sannipataja,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0048,Diarrhea - Atisara Chronic,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0049,Cough - Kasa Acute,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0050,Cold - Pratishyaya,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0051,Hemorrhoids - Arsha Vataja,,Unknown,DB33,Haemorrhoids,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0052,Urinary Stones - Ashmari Pittaja,,Unknown,GC80,Urolithiasis,0.980,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0053,Jaundice - Kamala Kaphaja,,Unknown,DB90,Jaundice,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0054,Leucorrhea - Shweta Pradara Sannipataja,,Unknown,GA34,Disorders of menstruation,0.900,Medical Expert,Expert Medical Knowledge,gynecological,2025-09-05
AY0055,Impotence - Klaibya Chronic,,Unknown,HA00,Male sexual dysfunction,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0056,Gout - Vatarakta Acute,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0057,Sciatica - Gridhrasi,,Unknown,8B94,Sciatica,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
