category,code,title,definition,entity_id,browser_url
infectious_diseases,1A00,Cholera,Cholera is an acute diarrheal infection caused by ingestion of food or water contaminated with the bacterium Vibrio cholerae.,http://id.who.int/icd/entity/739620086,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/739620086
infectious_diseases,1A20,Plague,Plague is a disease that affects humans and other mammals. It is caused by the bacterium Yersinia pestis.,http://id.who.int/icd/entity/622185989,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/622185989
infectious_diseases,1A40,Tularaemia,Tularaemia is a disease caused by the bacterium Francisella tularensis.,http://id.who.int/icd/entity/577874315,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/577874315
infectious_diseases,1B10,Pulmonary tuberculosis,Pulmonary tuberculosis is tuberculosis that affects the lungs.,http://id.who.int/icd/entity/571121087,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/571121087
infectious_diseases,1B20,Miliary tuberculosis,Miliary tuberculosis is a form of tuberculosis that is characterized by a wide dissemination into the human body.,http://id.who.int/icd/entity/822412099,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/822412099
infectious_diseases,1C60,Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,http://id.who.int/icd/entity/925796884,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/925796884
infectious_diseases,1C62,Malaria due to Plasmodium falciparum,"Malaria caused by Plasmodium falciparum, the most severe form of malaria.",http://id.who.int/icd/entity/994747990,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/994747990
infectious_diseases,1E50,Viral hepatitis A,Hepatitis A is an infectious disease of the liver caused by hepatitis A virus.,http://id.who.int/icd/entity/395682207,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/395682207
infectious_diseases,1E51,Viral hepatitis B,Hepatitis B is an infectious disease caused by the hepatitis B virus.,http://id.who.int/icd/entity/100795176,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/100795176
infectious_diseases,1E52,Viral hepatitis C,Hepatitis C is an infectious disease caused by the hepatitis C virus.,http://id.who.int/icd/entity/543813149,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/543813149
neoplasms,2A00.0,Malignant neoplasm of lip,Primary malignant neoplasm of the lip.,http://id.who.int/icd/entity/822288259,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/822288259
neoplasms,2A70,Malignant neoplasm of breast,Primary malignant neoplasm arising in the breast.,http://id.who.int/icd/entity/274437287,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/274437287
neoplasms,2A80,Malignant neoplasm of cervix uteri,Primary malignant neoplasm of the cervix uteri.,http://id.who.int/icd/entity/550953315,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/550953315
neoplasms,2B10,"Malignant neoplasm of trachea, bronchus or lung","Primary malignant neoplasm of the trachea, bronchus, or lung.",http://id.who.int/icd/entity/199175287,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/199175287
neoplasms,2B90,Malignant neoplasm of stomach,Primary malignant neoplasm of the stomach.,http://id.who.int/icd/entity/972351089,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/972351089
endocrine_diseases,5A10,Type 1 diabetes mellitus,Type 1 diabetes mellitus is a form of diabetes mellitus that results from autoimmune destruction of insulin-producing beta cells of the pancreas.,http://id.who.int/icd/entity/672656282,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/672656282
endocrine_diseases,5A11,Type 2 diabetes mellitus,Type 2 diabetes mellitus is a metabolic disorder that is characterized by high blood glucose in the context of insulin resistance and relative insulin deficiency.,http://id.who.int/icd/entity/144671516,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/144671516
endocrine_diseases,5A14,Gestational diabetes mellitus,Gestational diabetes mellitus is glucose intolerance with onset or first recognition during pregnancy.,http://id.who.int/icd/entity/503748624,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/503748624
endocrine_diseases,5A40,Thyrotoxicosis,Thyrotoxicosis is the condition that occurs due to excessive thyroid hormone of any cause.,http://id.who.int/icd/entity/403968775,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/403968775
endocrine_diseases,5A60,Hypothyroidism,Hypothyroidism is a condition in which the thyroid gland does not produce enough thyroid hormone.,http://id.who.int/icd/entity/20956789,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/20956789
mental_disorders,6A70,Single episode depressive disorder,Single episode depressive disorder is characterized by the presence or history of one depressive episode.,http://id.who.int/icd/entity/421167724,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/421167724
mental_disorders,6A71,Recurrent depressive disorder,Recurrent depressive disorder is characterized by a history of at least two depressive episodes.,http://id.who.int/icd/entity/605007626,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/605007626
mental_disorders,6B00,Generalized anxiety disorder,Generalized anxiety disorder is characterized by marked symptoms of anxiety that persist for at least several months.,http://id.who.int/icd/entity/224034535,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/224034535
mental_disorders,6B01,Panic disorder,Panic disorder is characterized by recurrent unexpected panic attacks.,http://id.who.int/icd/entity/471365804,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/471365804
mental_disorders,6A02,Schizophrenia,Schizophrenia is characterized by disturbances in multiple mental modalities.,http://id.who.int/icd/entity/73335731,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/73335731
circulatory_diseases,BA00,Essential hypertension,Essential hypertension is high blood pressure that doesn't have a known secondary cause.,http://id.who.int/icd/entity/337563523,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/337563523
circulatory_diseases,BA01,Hypertensive heart disease,Hypertensive heart disease is heart disease caused by high blood pressure.,http://id.who.int/icd/entity/316668097,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/316668097
circulatory_diseases,BB10,Acute myocardial infarction,Acute myocardial infarction is the medical name for a heart attack.,http://id.who.int/icd/entity/673046459,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/673046459
circulatory_diseases,BB90,Heart failure,Heart failure is a condition in which the heart cannot pump enough blood to meet the body's needs.,http://id.who.int/icd/entity/557007101,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/557007101
circulatory_diseases,BC90,"Stroke, not specified as haemorrhage or infarction",Stroke of unspecified type.,http://id.who.int/icd/entity/181073204,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/181073204
respiratory_diseases,CA40,Pneumonia,Pneumonia is an inflammatory condition of the lung affecting primarily the small air sacs known as alveoli.,http://id.who.int/icd/entity/551397062,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/551397062
respiratory_diseases,CA80,Asthma,Asthma is a respiratory condition marked by attacks of spasm in the bronchi of the lungs.,http://id.who.int/icd/entity/206944505,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/206944505
respiratory_diseases,CB03,Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease is a type of obstructive lung disease.,http://id.who.int/icd/entity/311297324,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/311297324
traditional_medicine,TM26.001,Traditional Medicine Pattern: Diabetes with Kidney Yang Deficiency,A traditional medicine pattern characterized by diabetes mellitus with symptoms of kidney yang deficiency.,http://id.who.int/icd/entity/919328112,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/919328112
traditional_medicine,TM26.002,Traditional Medicine Pattern: Hypertension with Liver Yang Rising,Traditional Chinese Medicine pattern of hypertension characterized by liver yang hyperactivity.,http://id.who.int/icd/entity/658821439,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/658821439
traditional_medicine,TM26.AY001,Ayurvedic Pattern: Madhumeha (Diabetes) - Vata-Kapha Type,An Ayurvedic classification of diabetes characterized by Vata-Kapha dosha imbalance.,http://id.who.int/icd/entity/390877640,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/390877640
traditional_medicine,TM26.AY002,Ayurvedic Pattern: Rajayakshma (Tuberculosis) - Vataja Type,Ayurvedic classification of tuberculosis as Rajayakshma with predominant Vata dosha involvement.,http://id.who.int/icd/entity/605481707,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/605481707
traditional_medicine,TM26.UN001,Unani Pattern: Ziabetus Shakari - Sanguine Temperament,Unani medicine classification of diabetes associated with sanguine temperament.,http://id.who.int/icd/entity/880636087,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/880636087
